iter	MultiClass
0	-1.072506442
1	-1.048284947
2	-1.025892464
3	-1.005171792
4	-0.9856173749
5	-0.967274911
6	-0.9501880524
7	-0.9341476244
8	-0.9181587783
9	-0.9034312725
10	-0.8893453696
11	-0.8760618078
12	-0.863482525
13	-0.8515129687
14	-0.8403598443
15	-0.8297457871
16	-0.8189111291
17	-0.8087609014
18	-0.7992885669
19	-0.7900546536
20	-0.7817658215
21	-0.7738710295
22	-0.7662304966
23	-0.7590410857
24	-0.7520835717
25	-0.7450570837
26	-0.7388714802
27	-0.7324906966
28	-0.7263709316
29	-0.720117527
30	-0.7140143802
31	-0.7082999948
32	-0.7029551783
33	-0.6976478795
34	-0.692661908
35	-0.6878656069
36	-0.6832925832
37	-0.6788960208
38	-0.6747215923
39	-0.6707642937
40	-0.6669624552
41	-0.663252297
42	-0.6594934177
43	-0.655893585
44	-0.6523567762
45	-0.6491161483
46	-0.6457589354
47	-0.6426146883
48	-0.6395316572
49	-0.6365888291
50	-0.6339696033
51	-0.6312358289
52	-0.628635839
53	-0.6260911635
54	-0.6233708499
55	-0.6211095493
56	-0.6188549999
57	-0.6167085492
58	-0.6146334148
59	-0.6125264854
60	-0.6103539221
61	-0.6085224987
62	-0.6067046796
63	-0.6050329013
64	-0.6033042127
65	-0.6016616164
66	-0.5999465746
67	-0.5981970372
68	-0.5965796202
69	-0.5950498794
70	-0.5935347763
71	-0.5919221179
72	-0.5906278363
73	-0.5893631149
74	-0.5880295571
75	-0.5867716763
76	-0.5853609883
77	-0.584143058
78	-0.5828532828
79	-0.5815589198
80	-0.5802845828
81	-0.57881711
82	-0.5778085991
83	-0.5767705187
84	-0.5757610942
85	-0.5745570172
86	-0.5733704051
87	-0.5722884532
88	-0.5714063373
89	-0.5705625991
90	-0.5695053899
91	-0.5687258728
92	-0.5677161024
93	-0.5668866218
94	-0.5660563432
95	-0.5651776628
96	-0.5643346405
97	-0.5634665919
98	-0.5626690615
99	-0.5619112053
100	-0.5612628767
101	-0.5605918919
102	-0.5600150717
103	-0.5592614516
104	-0.558566767
105	-0.5578993639
106	-0.5573512501
107	-0.556736376
108	-0.5560560915
109	-0.5555129607
110	-0.5549434576
111	-0.5543776843
112	-0.5539547923
113	-0.5534654306
114	-0.5528440218
115	-0.5522768005
116	-0.5517358735
117	-0.5511691241
118	-0.5506342752
119	-0.5500147254
120	-0.5494615193
121	-0.5490032062
122	-0.5484557108
123	-0.5478924659
124	-0.5474165019
