iter	Passed	Remaining
0	592	591666
1	1099	548672
2	1531	508969
3	2017	502248
4	2507	499084
5	2967	491574
6	3489	494952
7	4014	497845
8	4663	513556
9	5144	509265
10	5567	500595
11	6051	498250
12	6478	491862
13	6972	491093
14	7450	489277
15	7929	487637
16	8491	490992
17	9063	494447
18	9554	493288
19	10053	492643
20	10550	491852
21	11018	489837
22	11507	488818
23	12057	490331
24	12550	489469
25	13050	488907
26	13571	489063
27	14155	491414
28	14741	493601
29	15268	493678
30	15812	494282
31	16247	491500
32	16898	495178
33	17592	499822
34	18118	499553
35	18816	503867
36	19415	505323
37	19963	505384
38	20676	509480
39	21388	513334
40	21924	512828
41	22448	512029
42	23021	512365
43	23573	512183
44	24031	510011
45	24587	509913
46	25062	508185
47	25514	506042
48	26039	505370
49	26702	507350
50	27402	509907
51	27864	507990
52	28336	506307
53	28939	506979
54	29476	506463
55	30051	506581
56	30541	505266
57	31001	503500
58	31470	501929
59	31964	500771
60	32504	500362
61	32955	498589
62	33574	499352
63	34114	498931
64	34643	498328
65	35134	497210
66	35676	496815
67	36316	497749
68	36877	497582
69	37424	497212
70	37888	495754
71	38392	494836
72	38896	493937
73	39370	492657
74	39869	491722
75	40479	492150
76	40986	491300
77	41500	490561
78	41945	489005
79	42384	487421
80	42954	487353
81	43408	485965
82	43910	485137
83	44333	483442
84	44829	482580
85	45286	481304
86	45731	479919
87	46170	478498
88	46672	477733
89	47235	477603
90	47678	476257
91	48171	475433
92	48593	473915
93	49121	473451
94	49662	473100
95	50272	473399
96	50767	472611
97	51353	472661
98	51868	472056
99	52511	472601
100	53174	473304
101	53654	472371
102	54155	471625
103	54667	470980
104	55162	470196
105	55659	469431
106	56118	468351
107	56613	467587
108	57119	466911
109	57600	466039
110	58119	465476
111	58722	465585
112	59213	464801
113	59652	463616
114	60216	463406
115	60711	462667
116	61317	462760
117	62136	464443
118	62791	464865
119	63378	464773
120	64189	466299
121	65028	467991
122	65774	468974
123	66291	468317
124	66931	468518
125	67564	468663
126	68331	469709
127	69199	471418
128	69846	471600
129	70540	472081
130	71281	472849
131	72027	473635
132	72764	474334
133	73352	474053
134	74053	474491
135	74701	474571
136	75304	474364
137	75931	474297
138	76552	474187
139	77230	474413
140	77817	474077
141	78278	472979
142	78780	472132
143	79505	472618
144	80141	472556
145	80748	472322
146	81276	471627
147	81912	471549
148	82533	471383
149	83095	470875
150	83709	470655
151	84498	471415
152	85245	471914
153	85956	472205
154	86667	472476
155	87294	472286
156	87894	471941
157	88450	471361
158	89059	471063
159	89691	470877
160	90208	470092
161	90786	469624
162	91373	469201
163	91830	468111
164	92400	467602
165	92981	467148
166	93509	466425
167	94180	466415
168	94724	465776
169	95238	464986
170	95852	464686
171	96348	463818
172	96911	463269
173	97516	462925
174	98178	462843
175	98695	462072
176	99162	461079
177	99674	460293
178	100499	460948
179	101102	460579
180	101687	460120
181	102161	459165
182	102747	458712
183	103238	457838
184	103754	457081
185	104364	456735
186	104971	456371
187	105569	455970
188	106151	455496
189	106740	455053
190	107496	455310
191	108086	454862
192	108630	454221
193	109143	453451
194	109755	453091
195	110413	452922
196	110887	451992
197	111505	451654
198	112076	451121
199	112536	450147
200	113144	449762
201	113765	449428
202	114425	449246
203	115002	448735
204	115595	448284
205	116250	448072
206	117081	448531
207	117757	448383
208	118448	448291
209	119122	448126
210	119836	448109
211	120386	447473
212	120895	446690
213	121444	446053
214	121959	445293
215	122439	444410
216	122951	443646
217	123404	442670
218	124007	442238
219	124495	441394
220	125023	440692
221	125564	440042
222	126099	439367
223	126746	439087
224	127235	438254
225	127752	437523
226	128346	437056
227	128823	436192
228	129372	435572
229	129930	434985
230	130501	434438
231	131022	433728
232	131588	433168
233	132129	432527
234	132777	432231
235	133326	431615
236	133826	430842
237	134335	430098
238	134865	429424
239	135364	428655
240	135886	427957
241	136402	427243
242	136909	426504
243	137390	425686
244	137996	425254
245	138573	424734
246	139139	424178
247	139674	423529
248	140206	422872
249	140737	422211
250	141184	421302
251	141696	420591
252	142231	419946
253	142744	419242
254	143318	418715
255	143826	417996
256	144375	417398
257	144962	416907
258	145444	416117
259	146040	415652
260	146535	414904
261	147036	414170
262	147549	413475
263	148065	412787
264	148739	412542
265	149352	412122
266	149939	411631
267	150458	410953
268	150964	410242
269	151522	409671
270	152031	408971
271	152569	408347
272	153057	407593
273	153608	407007
274	154209	406551
275	154763	405974
276	155303	405357
277	155845	404749
278	156389	404146
279	156948	403581
280	157456	402887
281	158137	402633
282	158714	402115
283	159227	401433
284	159767	400820
285	160351	400317
286	160924	399787
287	161505	399277
288	162022	398609
289	162568	398013
290	163135	397466
291	163695	396904
292	164304	396461
293	164907	396001
294	165516	395555
295	166081	395005
296	166612	394371
297	167102	393643
298	167634	393016
299	168126	392294
300	168649	391648
301	169182	391024
302	169716	390404
303	170274	389838
304	170775	389145
305	171255	388401
306	171777	387759
307	172313	387145
308	172860	386559
309	173368	385885
310	173893	385249
311	174409	384595
312	174946	383988
313	175487	383389
314	175992	382714
315	176571	382200
316	177172	381732
317	177755	381224
318	178254	380537
319	178793	379935
320	179351	379375
321	179951	378903
322	180588	378508
323	181304	378276
324	181807	377599
325	182341	376989
326	182826	376276
